adverb	cluster	sentence	jooyoung	Column 1	jader	Column 1	match?	Column 2
arrogantly	0	maybe <t>arrogantly</t> is a better word.		n/a		?		
arrogantly	1	if you have three steps to do, and you take those steps <t>arrogantly</t>, if you think you are invincible, you're going to die.	manner		manner			
arrogantly	2	that is so <t>arrogantly</t> phallic!	degree	?	manner		*	
boldly	0	its continuing mission, to explore strange new worlds,... ..to seek out new life and new civilisations,... ..to <t>boldly</t> go where no one has gone before.	manner		manner			
boldly	1	the swimming-pool, <t>boldly</t> projected in the sea...	manner		manner			
boldly	2	no, it's <t>boldly</t> retro, but i'm thinking something involving heisenberg's uncertainty principle.	degree	manner?	manner		*	
bravely	0	(i used to guard these mountains and forests <t>bravely</t>)	manner		manner			
bravely	1	the next, our ship - which but three glasses since we gave out split - is tight and yare, and <t>bravely</t> rigg'd, as when we first put out to sea.	manner		manner			
bravely	2	i didn't know whether to be brave for jordie and casey or cry it out. so, i cried <t>bravely</t>. you know, like a man, in a low voice, while i was changing the oil on my car.	manner		manner			
cleverly	0	<t>cleverly</t>, he deactivates the weapons system, and the crowd goes wild.	subject-oriented		subject-oriented			
cleverly	1	- you shouldn't look at me so <t>cleverly</t>...	manner		manner			
cleverly	2	this is a painting of the cliffs at Ã©tretat, <t>cleverly</t> titled the cliffs at Ã©tretat.	manner		manner			
clumsily	0	<t>clumsily</t>, with more mess than necessary.	manner		manner			
clumsily	1	i hadn't thought to put on my climbing boots and stumbled <t>clumsily</t> behind him across the sharp stones.	manner		manner			
clumsily	2	those books were tied <t>clumsily</t>.	manner		manner			
considerately	0	how about that? whereupon a dead man very <t>considerately</t> gets up and locks the door from the inside.	subject-oriented	?	subject-oriented			
considerately	1	the coupling device that you so <t>considerately</t> left us on your decoy warhead is accurate to 10 feet.	subject-oriented		manner		*	
considerately	2	well, i didn't want to disturb you, and hogan very <t>considerately</t> asked me out.	subject-oriented		manner		*	
cowardly	0	why are you so <t>cowardly</t>?	manner		manner			
cowardly	1	the first survivors from the ships <t>cowardly</t> bombed... by nazi submarines have arrived on the coast of pernambuco.	manner		manner			
cowardly	2	they had <t>cowardly</t> chosen a specialty in their measure.	subject-oriented		manner		*	
daringly	0	what the countess had so <t>daringly</t> conceived now began to unravel at a frightening pace.	manner		manner			
daringly	1	right into the snowstorm we will <t>daringly</t> dash!	manner		manner			
daringly	2	<t>daringly</t>, the fugitive's bride-to-be convinces the town that he's not guilty... by forging a telegram from a u.s. marshal.	subject-oriented		subject-oriented			
eagerly	0	dearest helen... aunt juley better and <t>eagerly</t> expecting you as am i.	manner		manner			
eagerly	1	without the weapons of mass destruction your people so <t>eagerly</t> hurled at one another,	manner		manner			
eagerly	2	carried forward, on a wave of exhaultation, i worked <t>eagerly</t> to complete the portrait.	manner		manner			
early	0	she did cut out <t>early</t>, so...	temporal		temporal			
early	1	says a male black, <t>early</t> 20s, wearing a white t-shirt, put a gun on him and swiped his bag coming off the number six	temporal		temporal			
early	2	so our killer wanted to make an <t>early</t> withdrawal, and our victim didn't want to go along.	temporal		temporal			
earnestly	0	i just want to <t>earnestly</t> pray for once.	manner		manner			
earnestly	1	you are taking your best man's duties rather <t>earnestly</t>!	manner		manner			
earnestly	2	so his followers <t>earnestly</t> waited for that day.	manner		manner			
easily	0	gentlemen... 0bjections to the exploitation of an oil deposit can <t>easily</t> be solved with the agreements that will be concluded later	manner		manner			
easily	1	upon an ambler <t>easily</t> she sat,	manner		manner			
foolishly	0	you know, i mean, i moved here, um, from new york, <t>foolishly</t> thinking that the country was gonna be good for me, right?	subject-oriented		speaker-oriented		*	foolishly thought vs. foolishly worship?
foolishly	1	since the route was dangerous and we didn't want to die <t>foolishly</t>, we left the red car and took the blue train.	manner		manner			
foolishly	2	she did not wish us to sacrifice the life of another jaffa to save her own, even one who still <t>foolishly</t> worshipped the false gods.	subject-oriented			?	*	
generously	0	to give <t>generously</t> to the abbey.	manner		manner			
generously	1	a house in bel air with a <t>generously</t> sized swimming pool.	degree		speaker-oriented		*	
generously	2	i am making chicken breasts... ooh. <t>generously</t> seasoned with paprika.	degree		manner			
graciously	0	thank you for so <t>graciously</t> accepting.	subject-oriented				*	
graciously	1	member of the british empire, <t>graciously</t> bestowed upon myself for services to the tilling hospital.	subject-oriented				*	
graciously	2	running <t>graciously</t>, they filled the woods with laughter... they carried baskets of fruit to where the tablecloth had been.	manner		manner			
greedily	0	<t>greedily</t> i retained his gold	subject-oriented		subject-oriented			
greedily	1	it was a terrible vision, my son living the saint's life, <t>greedily</t> acquiring women.	manner		manner			
greedily	2	her pussy was a neat, discreet little cleft... but as soon as the animal within... was roused by my caresses, it would stir... draw aside the silken curtain covering its lair... and become a carnivorous flower... a baby's mouth... <t>greedily</t> sucking my finger.	manner		manner			
grudgingly	0	i would rather, albeit <t>grudgingly</t>, have renounced that happiness than betrayed my convictions and duty.	manner		speaker-oriented	?	*	
grudgingly	1	to those of us who be<t>grudgingly</t> call allan a friend, it seems impossible that any woman could handle him for an hour, let alone a lifetime.	manner		speaker-oriented	?	*	
grudgingly	2	he said he died <t>grudgingly</t>.	manner		manner			
honestly	0	i've lived my life as <t>honestly</t> as i can.	manner		manner			
honestly	1	<t>honestly</t>, everything stefan said after, "damon is back," is kind of a blur.	speaker-oriented		speaker-oriented			
honestly	2	you must take it. it has been <t>honestly</t> earned.	manner		manner			
humbly	0	i beg you, i <t>humbly</t> appeal to your courage and... in spite of all... to your common sense.	manner		manner			
humbly	1	gamblers should live <t>humbly</t> in the shadows of honest people.	manner		manner			
humbly	2	i shall wait <t>humbly</t> for the goulash at midnight.	manner		manner			
jealously	0	rodney, please. tell me this isn't just petty <t>jealously</t>.		n/a	speaker-oriented	?		
jealously	1	every portal to katrina's heart was <t>jealously</t> guarded by a host of rustic admirers.	manner		manner			
jealously	2	zoe babes, are you <t>jealously</t> suggesting that i'm... resistible?	manner		manner			
kindly	0	i'm afraid history will not look too <t>kindly</t> on your tenure as leadinvestigator.	manner		manner			
kindly	1	i'm a doer, now friend, <t>kindly</t> step aside, and let this great eagle soar, on the back of that bull.	subject-oriented		manner	*		
kindly	2	bow your head... and read <t>kindly</t> his epitaph.	subject-oriented		manner	*		
meanly	0	and miss tharp has to support mr. <t>meanly</t>.		n/a	manner	?		
meanly	1	you meant well, perhaps but my rewards are for unselfish effort, not for things half or <t>meanly</t> done.	subject-oriented		manner		*	
meanly	2	you are treating this poor child <t>meanly</t>	manner		manner			
nobly	0	susanna has done <t>nobly</t> by you all these years, but she won't give up any part of the load.	subject-oriented		manner		*	
nobly	1	okay, we gotta find the cher<t>nobly</t> to get out of here.		n/a		?		
nobly	2	come, bring your luggage <t>nobly</t> on your back.	manner		manner			
politely	0	<t>politely</t> ask them to sit, and, uh, be prepared for a physical reaction.	manner		manner			
politely	1	queuing up <t>politely</t> is what makes us civilized.	manner		manner			
politely	2	then wait for further instructions, <t>politely</t> seated, with your hands crossed on your lap.	manner		manner			
reluctantly	0	portrait of an english gentleman, yielding <t>reluctantly</t> to superior force. oh!	manner	?	manner			
reluctantly	1	i have been, <t>reluctantly</t>, forced to conclude that cmdr shelby, our expert on the borg, is an ideal choice for first officer.	manner	?	speaker-oriented		*	
reluctantly	2	let it read that this competency hearing was ordered by commodore stocker and <t>reluctantly</t> called by myself.	manner		manner			
selfishly	0	give up the sword if you want to live <t>selfishly</t>.	manner		manner			
selfishly	1	you got there by playing <t>selfishly</t> and losing.	manner		manner			
selfishly	2	<t>selfishly</t>, i'd love to go, i'd love to experience it, but if we got to go, so would bloated tourists who want to make that a honeymoon.	domain		speaker-oriented		*	
sensibly	0	that i am guiltless of your father's death, and am most <t>sensibly</t> in grief for it, it shall to you be clear as a day.	manner		manner			
sensibly	1	within, walls continue upright, bricks meet... floors are firm, and doors are <t>sensibly</t> shut.	manner		manner			
sensibly	2	okay, i am not racing my mom's <t>sensibly</t> priced utility wagon across the australian outback.	degree	manner?	manner		*	how about reasonably
willingly	0	meaning no one would <t>willingly</t> leave it behind.	manner		manner			
willingly	1	embrace me <t>willingly</t>, and i vow not to spoil that portion of your soul which is the wellspring of your artistry.	manner		manner			
willingly	2	in dressage, the rider should appear effort-free while the horse <t>willingly</t> performs the requested movement.	manner		manner			
wisely	0	a woman who... loved not <t>wisely</t>, but too well.	manner		manner			
wisely	1	the child is so unhappy. she's not being treated <t>wisely</t>.	manner		manner			
wisely	2	i'm so sorry, mrs <t>wisely</t>, i'm so sorry...		n/a		?		
abundantly	0	and let him return to the lord and he will have compassion on him. for he will <t>abundantly</t> pardon.	degree		degree			
abundantly	1	you've been <t>abundantly</t> clear on the subject.	degree		degree			
abundantly	2	"it shall blossom <t>abundantly</t>, and rejoice even with joy and singing:	degree		manner		*	
allegorically	0	i was talking <t>allegorically</t>, nathan.	manner		manner			
allegorically	1	fondle a donkey's cock while felching it, <t>allegorically</t>	speaker-oriented			?	*	
allegorically	2	the book of revelations may be portrayed <t>allegorically</t>, but the overarching idea of the apocalypse is real.	manner		manner			
amorously	0	she came to me and she put her hands on my neck in a loving way, and she <t>amorously</t> said, "philippe, i would like to be the first person	manner		manner			
amorously	1	gee, it's so gl<t>amorously</t> decorated, i thought i was in vegas.		n/a		?		
amorously	2	in a moment like this. people should die gl<t>amorously</t>.		n/a		?		
authoritatively	0	i have for some time been compiling exhaustive notes on the peculiarities of spices and herbs in common use, and i have discovered that it can be <t>authoritatively</t> proved that the excessive indulgence in nutmeg leads to hallucination and general debilitation.	manner		domain		*	
authoritatively	1	she kept a diary and with home-made inks whose strength waxed and waned, wrote <t>authoritatively</t> about everything.	manner		manner			
authoritatively	2	condemning me before the facts have been <t>authoritatively</t> established!	manner		speaker-oriented		*	
blankly	0	we would, like a deaf man, stare <t>blankly</t> as your mouth moves.	manner		speaker-oriented	?	*	
blankly	1	you just ejaculate <t>blankly</t> and move on.	manner		degree		*	
blankly	2	you know after i finish my prepared speech ...i just lot of ... <t>blankly</t> you know - besides this...				?		
confidently	0	but as you would expect... <t>confidently</t>.				?		
confidently	1	i've been recollecting the arrival of a new first officer on board the enterprise, and a manual docking <t>confidently</t> achieved.	subject-oriented	?				
confidently	2	he waits <t>confidently</t> for her.	manner		manner	speaker-oriented		
constantly	0	look, you know, aud, we've been together <t>constantly</t> for all these years.	temporal		frequency			
constantly	1	leo people are <t>constantly</t> on my neck therefore act in this role. so, please back soon, okay?	temporal		frequency			
constantly	2	i get that. trying to figure out who you are and what you're gonna do with your life while <t>constantly</t> distracted with hormones.	temporal		frequency			
currently	0	but i'm <t>currently</t> writing a comedy i'm fond of, a comedy i like very much.	temporal		temporal			
currently	1	...fighting for the rights of the basque people and to form an independent nation on this historic territory, <t>currently</t> occupied by the spanish and french states.	temporal		temporal			
currently	2	there's talk of another wave, <t>currently</t> unfounded, though it looks like this one ricocheted down the coast.	temporal		temporal			
cynically	0	i have proof that a woman was <t>cynically</t> taken in marriage.	manner		speaker-oriented		*	
cynically	1	but the brave shepherd ruslan shamaev turned up detailing how i tortured him ...how i <t>cynically</t> slaughtered chechen women and children	manner		speaker-oriented		*	
cynically	2	the comfortable position of "auxiliary", or "support sector" for a criminal organization, whose aim is, through turning brazil into a battlefield, the setting-up of a communist regime. when uncovered, it will disclose, <t>cynically</t>, that the church is being persecuted in brazil.	speaker-oriented		subject-oriented		*	
decently	0	i assumed you wanted her <t>decently</t> dressed.	manner		manner			
decently	1	"a full fair-mindedness requires us also to report that within the gem, on deadwood's main thoroughfare, comely whores, <t>decently</t> priced liquor and the squarest games of chance in the hills remain unabatedly available at all hours,	manner	degree?	manner	degree?speaker oriented		
decently	2	remember your manners. and don't forget to cross your ankles <t>decently</t> when you sit down.	manner		subject-oriented			
deucedly	0	pretty girls are <t>deucedly</t> scarce but they do exist.	degree		degree			
deucedly	1	blast these waves! they're so <t>deucedly</t> erratic!	degree		degree			
deucedly	2	<t>deucedly</t> fine blades. considering they were made by trolls.	degree		degree			
differently	0	you'd speak <t>differently</t> if she were here.	manner		manner			
differently	1	that golf ball under your eye suggests <t>differently</t>.	manner			?		
differently	2	i do care, but you're just another teacher that doesn't know how to reach me because i learn <t>differently</t>.	manner		manner			
dimly	0	we are here to make limbo tolerable, to ferry wounded souls across the river of dread until the point where hope is <t>dimly</t> visible.	manner		degree		*	
dimly	1	bad things happen in darkness, mr. castle. <t>dimly</t> lit tunnels, darkened stairwells.	manner		degree		*	
dimly	2	<t>dimly</t>'s body was recovered 2 weeks ago by two bargemen. he'll be tried		n/a		?		
disastrously	0	all ending <t>disastrously</t>, killing both mother and child.	manner		degree			
disastrously	1	or so it would have been if certain modern theories concerning the shape of the world had not proved to be <t>disastrously</t> wrong.	degree	manner?	degree			
disastrously	2	it wasn't a date so much as a <t>disastrously</t> uncomfortable sexual experience.	degree		degree			
easily	0	and for those who've yet to experience the sublime benevolence of jasmine this will <t>easily</t> be the most momentous day in recorded history.		?	speaker-oriented		*	
easily	1	we'll build a new, light house so that everyone in it can breathe <t>easily</t>.	manner		manner			
easily	2	don't allow her to turn you <t>easily</t>.		?	speaker-oriented		manner	
emotionally	0	i invested <t>emotionally</t>,and i lost millions.	manner		speaker-oriented		*	
emotionally	1	latin lover narrator: you know where you don't want to go after you've spent an <t>emotionally</t>				?		
emotionally	2	a lot of us women eat <t>emotionally</t>, liz. and while we're not always in control of our feelings we do control of the decisions we make.	manner		speaker-oriented			
enthusiastically	0	that the generous warmth of the sentiments... expressed by mr. beenstock... and so <t>enthusiastically</t> seconded -		speaker?		?		
enthusiastically	1	the news of the people's liberation army's march into tibet... was <t>enthusiastically</t> supported... by all sections of the population.	manner		manner			
enthusiastically	2	landed a little too <t>enthusiastically</t> and tore my achilles.	manner		speaker-oriented			
entirely	0	soon the man and the woman they will sleep <t>entirely</t> without the bonds of money.	degree	temporal?	degree	?		
entirely	1	in an <t>entirely</t> spiritual way, of course.	degree		degree	?		
entirely	2	but the fish seemed to have eaten several of the victim's internal organs <t>entirely</t>, while others were left intact.	degree		degree			
exactly	0	red john thought <t>exactly</t> the same thing.	degree		degree			
exactly	1	and i had a bit of, not <t>exactly</t> friction with him, but i found him a bit offhand.	degree		degree			
exactly	2	i got here in <t>exactly</t> thirty minutes	degree		degree			
facetiously	0	oh, milady <t>facetiously</t> grants it.	manner		manner			
facetiously	1	more often, and less <t>facetiously</t>,			manner			
facetiously	2	- yeah. i was speaking <t>facetiously</t>, of course. - of course.	manner		manner			
fluently	0	well, i speak eight languages <t>fluently</t>.	manner		manner			
fluently	1	you see, the port-o-patient will allow you to <t>fluently</t>, uh, transport the unfortunate mr. johnson, uh, allowing him to even go outside, and sit and experience what he can of nature.	manner		manner			
fluently	2	he said he was going to a dance. he lies very <t>fluently</t> these days.	manner		manner			
formerly	0	i'm edmund ventura from the oasis project, <t>formerly</t> life extension, le.	temporal		temporal			
formerly	1	that restoration was considered for this edition. also, the screening speed was adjusted, damaged or incomplete intertitles were fixed, the colour tones were improved, and some takes, <t>formerly</t> printed out of register, were rescued.	temporal		temporal			
frequently	0	"for the violent and <t>frequently</t> insane,	frequency		frequency			
frequently	1	when a monkey climbs branches... <t>frequently</t> tickle his arm pit why doesn't he fall?	frequency		frequency			
frequently	2	dr. house <t>frequently</t> conducts differential diagnoses in a variety of places.	frequency		frequency			
haphazardly	0	not giving away state secrets <t>haphazardly</t>. and isn't it beneath you to print the petty, trite garbage of a secret-level analyst?	manner		manner			
haphazardly	1	as we went to the gig, they had the fans organised with police patrols on each corner so there weren't fans <t>haphazardly</t> waving along the streets	manner		manner			
haphazardly	2	turns out we're nothing more than chemicals hurtling through space, <t>haphazardly</t> bouncing off each other.	manner		manner			
hoarsely	0	today is my last day [<t>hoarsely</t>] as a--excuse me.		n/a		?		
hoarsely	1	[<t>hoarsely</t>] car, call gina linetti.		n/a		?		
hoarsely	2	[<t>hoarsely</t>] car, initiate ghost mode.		n/a		?		
hurriedly	0	you left so <t>hurriedly</t>, i couldn't give them to you last time, so i come all the way for you.	manner		manner			
hurriedly	1	and you will eat this passover offering <t>hurriedly</t>... for at midnight, the lord shall go forth among the egyptians... and the lord will punish the gods of egypt.	manner		manner			
hurriedly	2	when i was going through the daniels file, i realized one of the papers had been <t>hurriedly</t> removed.	manner		manner			
intimately	0	- i know her <t>intimately</t>.	manner		manner	manner?		
intimately	1	and i was thinking of promoting a series of concerts <t>intimately</t> staged, of course, to take place at your clubs.	manner		manner	manner?		
intimately	2	flirts and behaves <t>intimately</t> with them.	manner		manner			
logically	0	neuro<t>logically</t>, there's nothing wrong with you.	domain			domain?		neurologically vs logically. domain? speaker?
logically	1	i'm saying, <t>logically</t>-- or even negative files,	manner		manner			
logically	2	explains the temperature swings, disorientation, endocrino<t>logically</t> similar to female menopause, but without the vaginas and the mahjong tiles.	domain			domain?		
magnanimously	0	i think you're behaving very <t>magnanimously</t> this time.	manner		manner			
magnanimously	1	you yang boys are each worse than the last. the first five died for me <t>magnanimously</t>.	manner		manner			
magnanimously	2	i think he's gonna have an ulcer, but the good news is he'll never disappoint you again, so you can go and <t>magnanimously</t> hire him back now.	manner		manner			
maniacally	0	this is what i'm supposed to play <t>maniacally</t> down in the catacombs?	manner		manner			
maniacally	1	- her <t>maniacally</t> detailed, pseudo-fascist threshold planÂ ?	degree		manner		*	
maniacally	2	-ugh! -[beeps] [all screaming] [laughing <t>maniacally</t>]	manner		manner			
mostly	0	but <t>mostly</t> i think i was afraid of how much i want to be with you.	degree		degree			
mostly	1	they're <t>mostly</t> about either the girl or the guy got away.	degree		degree			
mostly	2	<t>mostly</t>, as in, "mind your own business"?		n/a	degree			
neatly	0	uh that brings us <t>neatly</t> to the uh containment facility that we have over here and uh um in your bed over there-	manner		manner			
neatly	1	it's so nice, <t>neatly</t> smells, very quiet place,	manner		manner			
neatly	2	it sounds like your plan is <t>neatly</t> resolved.	manner		manner			
notoriously	0	never was a man so <t>notoriously</t> abused!	degree	manner?	degree			
notoriously	1	you want me to drop a first degree murder charge against a convicted felon, who is a member of one of the most <t>notoriously</t> violent gangs in the state?	degree		degree			
notoriously	2	how <t>notoriously</t> easy to hack do you think...	degree		degree			
occasionally	0	why don't you date <t>occasionally</t>?	frequency		frequency			
occasionally	1	i've never had anything more than flashes of her memories, <t>occasionally</t> dreams.	frequency		frequency			
occasionally	2	all they want to do is eat, sleep, watch tv and <t>occasionally</t> fuck their wives.	frequency		frequency			
organizationally	0	i mean, <t>organizationally</t> speaking, this place is a shambles.	domain		domain			
organizationally	1	in the beginning we had no funding at all, we were not set up with manpower nor <t>organizationally</t>, so there was a lot to improvise.	manner	?	domain		*	
organizationally	2	i believe i will go for a nice walk and think this through <t>organizationally</t>.	manner		manner			
pitilessly	0	queen jodha forget her dignity your majesty, does mughal rule... not allow a mother to pine and weep... when her son's blood is <t>pitilessly</t> shed?	manner		manner			
pitilessly	1	<t>pitilessly</t>. you'd still be a white lily to me.		n/a		?		
pitilessly	2	usurers <t>pitilessly</t> ask for their dues without listening to their pleas.	manner		manner			
professionally	0	if it's successful, it'll be huge for me <t>professionally</t>.	domain		domain			
professionally	1	this place has been <t>professionally</t> staged.	manner		manner			
professionally	2	the tapes are so clear it sounds like they were <t>professionally</t> recorded.	manner		manner			
roughly	0	his bond purchases. <t>roughly</t> 20 times in excess of his salary.	degree	?	degree			
roughly	1	when you see it, aim <t>roughly</t> in its direction, and the heat-seekers will do the rest.	degree		degree			
roughly	2	what if my character expresses his rage... by putting away the groceries... <t>roughly</t>?	manner		manner	?		
socially	0	we gave up the <t>socially</t> retarded girl and the dyke.	domain	?	domain			
socially	1	among all primates, bonobos monkeys are relatives closest to man, both genetic and <t>socially</t>.	domain		domain			
socially	2	receive the flusky box government or <t>socially</t>?			domain			
sparingly	0	please use these as <t>sparingly</t> as you can because if these systems are overloaded they will shut down.	manner		manner			
sparingly	1	here in monaco, we eat <t>sparingly</t>...	manner		manner			
sparingly	2	germain pire eats little, doesn't drink and tips <t>sparingly</t>.	manner		manner			
straightforwardly	0	when tadashi saw yoshie and her sister talking... he felt yoshie spoke far too <t>straightforwardly</t>.	manner		manner			
straightforwardly	1	because i'm simple and plain and deal with every man <t>straightforwardly</t>.	manner		manner			
straightforwardly	2	maybe not <t>straightforwardly</t>, but he manipulated you into doing it.	manner		manner			
summarily	0	and anybody who has dealings with the soviet trade delegation whose conduct comes under suspicion, can be <t>summarily</t> deported under the undesirable aliens act.	temporal		manner		*	
summarily	1	unless you are on a scheduled break you are in violation of your hospital contract and are all in danger of being <t>summarily</t> fired.	temporal		manner		*	
summarily	2	you know, whatever idea they wake up in the morning with, in their head, if that idea, notion, goal, is not <t>summarily</t> achieved, then say hello to bedlam wrapped in mayhem, with a side order of chaos.	temporal		manner		*	
sweetly	0	as you so <t>sweetly</t> pointed out at the party, the party that i threw for you,	subject-oriented		speaker-oriented		*	
sweetly	1	i want to go to a nice place, where there are paintings and statues... lovely architecture, nice ceremony and where they play <t>sweetly</t>.	manner		manner			
sweetly	2	the hours with a too busy schedule because i'm afraid to <t>sweetly</t> waste time.	manner	?	speaker-oriented	?	*	
totally	0	they freak me out <t>totally</t>, snakes.	degree		degree			
totally	1	see, if you're going to consume <t>totally</t> empty... and might i add illegal... calories at least it should be from belgium.	degree		degree			
totally	2	then i panicked and <t>totally</t> bailed.	degree		degree			
traditionally	0	i am not what you would call <t>traditionally</t>--			manner			
traditionally	1	my father likes me to dress <t>traditionally</t> when i'm at home.	manner		manner			
traditionally	2	the <t>traditionally</t> dour readers were amused, and she was invited to speak at ornithological meetings and be interviewed for local television.	domain	?	speaker-oriented	?	*	
unexpectedly	0	everyone knows flight attendants are required to carry extra uniforms in case they get called to work <t>unexpectedly</t>.	manner		manner			
unexpectedly	1	what if i found out the person <t>unexpectedly</t> framing me was in my house?	manner	?	manner			
unexpectedly	2	the florentines live in narrow corridors and alleyways where they can strike <t>unexpectedly</t>.	manner		manner			
vilely	0	if low, an agate very <t>vilely</t> cut;	manner		manner			
vilely	1	lch get no air! they stink more <t>vilely</t> than a manure pile.	degree		degree			
vilely	2	but, hal, am i not fallen away <t>vilely</t> when my skin hangs about me like an old lady's loose gown?	manner		manner			
wildly	0	cecily, ever since i first looked upon your wondrous and incomparable beauty, i have dared to love you - <t>wildly</t>...	degree		degree	?		
wildly	2	the hands of a woman who fought <t>wildly</t> for her life and lost.	manner		manner			